dataset,generator,config_id,metric,mean,ci_lo,ci_hi,n_seeds
diabetes,ctgan,baseline,ks_marginal,0.22451140065146583,0.20325732899022803,0.25232084690553747,5
diabetes,great,baseline,ks_marginal,0.17280130293159607,0.16094258957654722,0.1837835912052117,15
diabetes,great,column_order=perm1,ks_marginal,0.17399565689467975,0.16577090119435398,0.18351520086862105,15
diabetes,great,column_order=perm2,ks_marginal,0.1798045602605863,0.17058597991313793,0.18964915852334419,15
diabetes,great,column_order=perm3,ks_marginal,0.17300488599348535,0.15943234256243216,0.18547808089033657,15
diabetes,great,numeric_format=rounded,ks_marginal,0.15774972855591748,0.14492162052117263,0.1689630836047774,15
diabetes,icl,baseline,ks_marginal,0.21551302931596086,0.20127205483170463,0.23012181053203037,15
diabetes,icl,column_order=perm1,ks_marginal,0.19136807817589577,0.1833197611292074,0.20039834419109662,15
diabetes,icl,column_order=perm2,ks_marginal,0.19093376764386535,0.18265370521172636,0.20229505971769815,15
diabetes,icl,column_order=perm3,ks_marginal,0.17022258414766558,0.1640200868621064,0.17631853963083605,15
diabetes,icl,numeric_format=rounded,ks_marginal,0.22474212812160693,0.21047774158523344,0.241334486970684,15
diabetes,icl,serialization=compact,ks_marginal,0.22954668838219322,0.19515268729641697,0.26959928067318134,15
diabetes,icl,serialization=keyvalue,ks_marginal,0.29168023887079264,0.26939434039087945,0.31799742128121605,15
diabetes,tvae,baseline,ks_marginal,0.15867263843648208,0.14731270358306187,0.17048045602605863,5
diabetes,ctgan,baseline,tstr,0.6077407407407407,0.513425,0.7002657407407408,5
diabetes,great,baseline,tstr,0.5143333333333334,0.4699324074074075,0.5627595679012347,15
diabetes,great,column_order=perm1,tstr,0.5165555555555555,0.49244012345679017,0.5405188271604939,15
diabetes,great,column_order=perm2,tstr,0.5430740740740742,0.5128756172839506,0.5762688271604938,15
diabetes,great,column_order=perm3,tstr,0.5338888888888889,0.5102354938271604,0.5568552469135802,15
diabetes,great,numeric_format=rounded,tstr,0.5296172839506174,0.4927836419753087,0.566070987654321,15
diabetes,icl,baseline,tstr,0.6642469135802469,0.62885262345679,0.6999875000000001,15
diabetes,icl,column_order=perm1,tstr,0.6135061728395061,0.5905129629629629,0.6361123456790123,15
diabetes,icl,column_order=perm2,tstr,0.6314320987654322,0.6084362654320988,0.6536117283950617,15
diabetes,icl,column_order=perm3,tstr,0.6701234567901235,0.6430293209876543,0.7004077160493827,15
diabetes,icl,numeric_format=rounded,tstr,0.6630123456790125,0.6289827160493827,0.6951466049382714,15
diabetes,icl,serialization=compact,tstr,0.6773456790123457,0.6513024691358024,0.703164814814815,15
diabetes,icl,serialization=keyvalue,tstr,0.6945740740740741,0.668971913580247,0.7212163580246913,15
diabetes,tvae,baseline,tstr,0.7633703703703703,0.7501333333333333,0.7835555555555554,5
diabetes,ctgan,baseline,tvd_categorical,0.1094462540716612,0.1084690553745928,0.1104234527687296,5
diabetes,great,baseline,tvd_categorical,0.03300760043431054,0.018995656894679705,0.049948425624321405,15
diabetes,great,column_order=perm1,tvd_categorical,0.040933767643865374,0.026490228013029325,0.05548588490770903,15
diabetes,great,column_order=perm2,tvd_categorical,0.03137893593919653,0.0221498371335505,0.04126221498371336,15
diabetes,great,column_order=perm3,tvd_categorical,0.042128121606948975,0.030290445168295335,0.054942996742671016,15
diabetes,great,numeric_format=rounded,tvd_categorical,0.047448425624321396,0.03235613463626494,0.06254071661237787,15
diabetes,icl,baseline,tvd_categorical,0.05483170466883822,0.035285016286644946,0.07340662323561346,15
diabetes,icl,column_order=perm1,tvd_categorical,0.10640608034744845,0.08805103148751356,0.12747285559174812,15
diabetes,icl,column_order=perm2,tvd_categorical,0.04299674267100976,0.027684581976112912,0.060914766558089015,15
diabetes,icl,column_order=perm3,tvd_categorical,0.07415852334419108,0.059495114006514645,0.08849077090119435,15
diabetes,icl,numeric_format=rounded,tvd_categorical,0.05667752442996742,0.03570846905537461,0.08219598262757874,15
diabetes,icl,serialization=compact,tvd_categorical,0.1216069489685125,0.07271715526601522,0.18018729641693806,15
diabetes,icl,serialization=keyvalue,tvd_categorical,0.14625407166123777,0.10129207383279047,0.1941530944625407,15
diabetes,tvae,baseline,tvd_categorical,0.10325732899022802,0.08403908794788276,0.12638436482084692,5
